docs,labels,weights
Uriel doesn't get me wingstop anymore so he's not my fav person anymore: (,[positive],1.0
"From the first burbling, snapping exhaust note of the 350 HP, 2. 3-liter engine to the crisp shifting, the RS is a spunky, spirited ride that is fun, fun, fun. With a lowered nose and",[neutral],1.0
#ICYMI: #c9d9 56 - Special Episode with Customers Speaking at #DOES16 https://t.co/0DSoUCWfc1 @HPE @Urban_Science... https://t.co/on2y85uYCd,[neutral],1.0
"Philips announces global partnership with World Heart Federation, https://t.co/S1f0iaAKx6",[neutral],1.0
https://t.co/segdUIgkQd DOTBUY PS4 Vinyl Decal Full Body Skin Sticker For Sony Playstation 4 Dualshock Controller... https://t.co/ygN65lP6fF,[neutral],1.0
"Imperva Cyber Security Blog October 01, 2016 Cyber Security Awareness: You Can Patch Systems, but Can You Patch People ? It's National Cyber Security Awareness Month ( NCSAM ) again. Now",[neutral],1.0
"Beers ! ( @Dave & amp ; Buster's - @daveandbusters in Providence, RI ) https://t.co/i8lMRBekN3",[positive],1.0
@turtlebeach I need help finding a replacement piece for my mic,[neutral],1.0
"Belden Town Welcomes Artists, Freaks And Hikers at Stilldream Festival https://t.co/Dlol6TXGTG",[neutral],1.0
RT @NetApp `` Simplify and modernize your IT with ONTAP 9 and our new flash systems. #SimplyAnywherepic.twitter.com/04811s8976 ``,[neutral],1.0
"FiREapps' imminent release of the Forecast Creator + Cash Flow will feature major architectural upgrades, including moving to Microsoft Azure as well as interface and speed updates of",[neutral],1.0
Plantronics BackBeat Pro 2: Premium wireless noise-cancelling headphones... https://t.co/oYPD3f1oQ2,[neutral],1.0
Review on #cherryactive Tart Cherry Juice #Recovery #5K #runners @the5krunner @garminau @garmin... https://t.co/WACJM0Zu1G,[neutral],1.0
"Want to work at Philips Lighting ? We're #hiring in #Eindhoven, NB ! Click for details: https://t.co/5YtX8A5dgV #Job... https://t.co/zkaxIDuRXh",[neutral],1.0
"3 billion, to better compete with nimbler rivals such as Workday Inc and Salesforce. com Inc that specialize in cloud-based offerings. In September, NetSuite disclosed that it",[neutral],1.0
radiantdestiel: I ship me and stable mental health. Its not canon yet https://t.co/H0YGjxVpEy,[neutral],1.0
"The Mi Band 2 fitness-tracker costs $ 22, about a fifth the price of Fitbit Alta. The strategy is familiar enough: hook customers on an operating systemMIUI, a heavily customized",[neutral],1.0
"A First Look at Figure 4, Industrial 3D Printing from 3D Systems & gt ; https://t.co/IpNAjGnxSt | @scoopit https://t.co/efRO8aDk7J",[neutral],1.0
"Windows 10 Mobile Anniversary Update starts hitting HP Elite x3: Last we heard, HP said that the Elite x3 wil... https://t.co/aIk2RVppth",[neutral],1.0
United States Free 92. Hamlet - William Shakespeare https://t.co/Rb0QFfSvcU #Books #iTunes #iPhone #Apple 9923,[neutral],1.0
"Senior ServiceNow Developer ( 11440HW ) in Denver, CO https://t.co/RtYIoVg8sv #job #GDjobs",[neutral],1.0
"Great #Salesforce idea right time with a fantastic team. @Appinium rocks for multimedia, marketing and education https://t.co/08cVaLtxM2",[positive],1.0
Love this ad from @McDonalds https://t.co/zfZixdlkSm,[positive],1.0
#BrokeStraightBoys #GayPorn #GaySex #GayXXX #GayVideos #GayBlog: Paul Canon Fucks Johnny Forza https://t.co/4CQz92VB8a,[neutral],1.0
OCC is at @ModernDayMarine ! Stop by and visit us in booth #1143 to learn how you can win a free FitBit ! #mdm2016,[neutral],1.0
Watching the Gospel Expand: Dan Luby's 36 Years of Teaching: Watching the Gospel Expand: Dan Luby's 36 Years... https://t.co/vXSjxxJPRC,[neutral],1.0
Our New 2016-2017 #Tableau #Zen Masters Are... | Tableau Software https://t.co/VooA2059qx https://t.co/okXNeUlYj1,[neutral],1.0
", which once were occupied by tech giant Hewlett-Packard. However, Chefs Catalog was shuttered a year ago by parent company Target Corp., the discount department chain that purchased",[neutral],1.0
"In one in June that was recorded by Palestinian Media Watch, an Israeli monitoring group, he dismissed the claim that there had been a Jewish temple on the site of Al Aqsa as a myth.",[neutral],1.0
Half of the senior class is at Starbucks rn and honestly I think that's great,[positive],1.0
El pollo loco chicken breasts are lit af.,[positive],1.0
Chick Fil A & gt ; Zaxby's & gt ; Popeyes tbh,[neutral],1.0
"9 million, and Texas Roadhouse Inc., with $ 1. 8 billion of revenue, paid its chief $ 8. 6 million. Support for the companys pay practices has averaged 71 percent during the past",[neutral],1.0
`` The partnership between Metaswitch and HPE brings together two leaders in NFV delivering a cloud-native IMS solution on HPE Helion OpenStack Carrier Grade that is ready for production,[neutral],1.0
"Garzik will be joining a board that features members from leading enterprise technology companies including Cisco, Fujitsu, Hitachi, HP, IBM, Intel, Oracle and Samsung. Bloq provides",[neutral],1.0
"Taco Bell sponsored Steal a Base, Steal a Taco to give away free tacos if anyone stole a base during Games 1 or 2 in the World Series. Lindor stole a base in the first inning of Game",[neutral],1.0
"Every spell muttered, flicked, and yelled in the Harry Potter book universe. https://t.co/qXhtx6rifh",[neutral],1.0
How upon approachability netgear superheterodyne router settings: zSoaY,[neutral],1.0
"Papa Murphys: Large Jack O Lantern Pizza for $ 8 or Family Size for $ 10 through 10/31 4. IHOP: Kids 12 and under get a free scary face pancake on 10/31, 7 am-10pm. 5. Krispy",[neutral],1.0
"The companys march to consolidate coffee could lead to a bid for Dunkin Brands Group Inc., according to Pablo Zuanic, an analyst at Susquehanna International Group LLP. JAB also",[neutral],1.0
"Marketingland: #MarketingDay: New Salesforce Wave Analytics features, App Store updates & amp ; more by AmyGesenhues https://t.co/KrSRZPG2O2",[neutral],1.0
El Pollo Loco shares up 5.2 % in Tuesday trading https://t.co/FNJRnnJKCZ,[neutral],1.0
Tell your friends to eat at Potbelly's from 5-8 tonight and tell them they're with us !,[positive],1.0
